"ward_clusters"	"complete_clusters"
"OTU540"	24	37
"OTU541"	149	176
"OTU542"	NA	NA
"OTU543"	NA	NA
"OTU545"	NA	NA
"OTU546"	150	NA
"OTU548"	NA	NA
"OTU549"	184	NA
"OTU551"	NA	NA
"OTU552"	NA	NA
"OTU556"	135	153
"OTU557"	69	85
"OTU558"	NA	NA
"OTU559"	NA	NA
"OTU560"	NA	NA
"OTU561"	NA	NA
"OTU562"	NA	NA
"OTU563"	NA	NA
"OTU564"	NA	NA
"OTU565"	65	79
"OTU566"	99	NA
"OTU568"	130	150
"OTU569"	NA	NA
"OTU570"	NA	NA
"OTU572"	NA	NA
"OTU574"	NA	NA
"OTU575"	179	NA
"OTU576"	76	NA
"OTU577"	NA	NA
"OTU578"	189	187
"OTU579"	NA	NA
"OTU580"	NA	NA
"OTU581"	167	98
"OTU582"	161	109
"OTU584"	NA	NA
"OTU585"	NA	NA
"OTU586"	NA	NA
"OTU588"	51	NA
"OTU589"	116	65
"OTU592"	NA	NA
"OTU593"	NA	NA
"OTU594"	NA	NA
"OTU595"	119	133
"OTU596"	177	151
"OTU597"	NA	NA
"OTU600"	NA	NA
"OTU602"	NA	NA
"OTU603"	NA	NA
"OTU604"	177	NA
"OTU605"	135	153
"OTU610"	NA	NA
"OTU611"	NA	NA
"OTU613"	NA	NA
"OTU614"	165	177
"OTU615"	NA	NA
"OTU617"	NA	91
"OTU618"	95	NA
"OTU619"	NA	84
"OTU620"	113	NA
"OTU622"	136	121
"OTU623"	NA	NA
"OTU624"	104	57
"OTU625"	NA	NA
"OTU626"	NA	171
"OTU627"	167	NA
"OTU630"	NA	164
"OTU631"	NA	NA
"OTU632"	179	155
"OTU633"	72	NA
"OTU634"	NA	169
"OTU635"	NA	122
"OTU638"	NA	NA
"OTU639"	136	121
"OTU640"	26	111
"OTU642"	143	190
"OTU644"	NA	149
"OTU645"	100	123
"OTU646"	NA	NA
"OTU647"	47	56
"OTU648"	72	NA
"OTU649"	NA	NA
"OTU650"	NA	NA
"OTU651"	NA	NA
"OTU652"	132	NA
"OTU653"	NA	110
"OTU654"	NA	NA
"OTU655"	166	130
"OTU660"	NA	NA
"OTU661"	122	NA
"OTU662"	NA	NA
"OTU663"	NA	175
"OTU664"	167	98
"OTU665"	NA	NA
"OTU667"	NA	149
"OTU668"	NA	NA
"OTU669"	156	194
"OTU671"	187	131
"OTU672"	NA	NA
"OTU673"	NA	NA
"OTU674"	NA	NA
"OTU676"	17	21
"OTU677"	NA	NA
"OTU678"	61	77
"OTU680"	53	64
"OTU681"	NA	NA
"OTU682"	59	174
"OTU683"	114	NA
"OTU685"	179	NA
"OTU686"	NA	NA
"OTU687"	108	NA
"OTU689"	NA	NA
"OTU691"	102	NA
"OTU692"	NA	NA
"OTU693"	NA	NA
"OTU695"	NA	NA
"OTU696"	NA	NA
"OTU697"	NA	NA
"OTU698"	167	NA
"OTU700"	65	79
"OTU701"	NA	60
"OTU702"	57	63
"OTU703"	NA	NA
"OTU704"	NA	NA
"OTU705"	NA	NA
"OTU707"	59	174
"OTU708"	NA	NA
"OTU709"	NA	NA
"OTU710"	NA	100
"OTU713"	156	194
"OTU714"	NA	NA
"OTU715"	49	59
"OTU716"	NA	NA
"OTU717"	84	54
"OTU719"	121	NA
"OTU720"	NA	NA
"OTU721"	142	168
"OTU723"	NA	NA
"OTU724"	NA	NA
"OTU727"	190	66
"OTU728"	NA	NA
"OTU729"	177	NA
"OTU730"	36	97
"OTU731"	NA	NA
"OTU732"	47	56
"OTU733"	NA	NA
"OTU734"	NA	NA
"OTU736"	76	NA
"OTU737"	NA	NA
"OTU741"	NA	NA
