OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU25421	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU25422	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU25423	Bacteria						
OTU25424	Bacteria	Planctomycetes	vadinHA49				
OTU25425	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae		
OTU25426	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25427	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25428	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XII	Fusibacter	
OTU25429	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	
OTU25430	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	
OTU25431	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25432	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
OTU25433	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
OTU25434	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade		
OTU25435	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU25436	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2		
OTU25437	Bacteria	Planctomycetes	Pla3_lineage				
OTU25438	Eukaryota						
OTU25439	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	Thalassobaculum	
OTU25440	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25441	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
OTU25442	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales			
OTU25443	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
OTU25444	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25445	Eukaryota						
OTU25446	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU25447							
OTU25448	Bacteria	Proteobacteria					
OTU25449	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	BD2-3		
OTU25450	Bacteria						
OTU25451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
OTU25452	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25453	Bacteria	Patescibacteria	Gracilibacteria				
OTU25454	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25455	Bacteria	Omnitrophicaeota					
OTU25456	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU25457	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	
OTU25458	Bacteria	Lentisphaerae					
OTU25459	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU25460	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfotalea	
OTU25461	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU25462	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU25463	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
OTU25464	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	
OTU25465	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU25466	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
OTU25467	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128	
OTU25468	Bacteria	Proteobacteria	Gammaproteobacteria	EV818SWSAP88			
OTU25469	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
OTU25470	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU25471	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25472	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25473	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae		
OTU25474	Bacteria	Omnitrophicaeota					
OTU25475	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	
OTU25476	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	
OTU25477	Bacteria	Cyanobacteria	Oxyphotobacteria				
OTU25478	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	
OTU25479	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25480	Bacteria						
OTU25481	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25482	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	
OTU25483	Bacteria	Omnitrophicaeota					
OTU25484	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
OTU25485	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS_17		
OTU25486	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	Methylovulum	
OTU25487	Bacteria	Patescibacteria	Parcubacteria				
OTU25488	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9			
OTU25489	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
OTU25490	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudobacteroides	
OTU25491	Bacteria	Omnitrophicaeota					
OTU25492	Bacteria	Omnitrophicaeota					
OTU25493	Bacteria	Elusimicrobia	Lineage_IIc				
OTU25494	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae		
OTU25495	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	
OTU25496	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU25497	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
OTU25498	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25499	Bacteria	Omnitrophicaeota					
OTU25500	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	
OTU25501	Bacteria	Proteobacteria	Gammaproteobacteria	Piscirickettsiales	Piscirickettsiaceae	Candidatus_Endoecteinascidia	
OTU25502	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU25503	Bacteria	Nitrospirae	Thermodesulfovibrionia				
OTU25504	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Ovatusbacter	
OTU25505	Bacteria	Proteobacteria	Deltaproteobacteria				
OTU25506	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU25507	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25508	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
OTU25509	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae		
OTU25510	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU25511	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6		
OTU25512	Bacteria	Dependentiae	Babeliae	Babeliales			
OTU25513	Bacteria	Patescibacteria					
OTU25514	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	
OTU25515	Bacteria	Omnitrophicaeota					
OTU25516	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
OTU25517	Bacteria	Omnitrophicaeota					
OTU25518	Bacteria	Proteobacteria					
OTU25519	Bacteria	Planctomycetes	vadinHA49				
OTU25520	Bacteria	Elusimicrobia	Elusimicrobia	Lineage_IV			
OTU25521	Bacteria	Margulisbacteria					
OTU25522	Bacteria						
OTU25523	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
OTU25524	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU25525							
OTU25526	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	
OTU25527	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	cvE6		
OTU25528	Bacteria	Patescibacteria	Parcubacteria				
OTU25529	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU25530	Bacteria						
OTU25531	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU25532	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25533	Bacteria						
OTU25534	Bacteria	Omnitrophicaeota					
OTU25535	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25536	Bacteria	Patescibacteria	ABY1	Candidatus_Magasanikbacteria			
OTU25537	Bacteria	Patescibacteria	Parcubacteria				
OTU25538	Bacteria	Planctomycetes	Phycisphaerae	S-70			
OTU25539	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	mle1-27		
OTU25540	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25541	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	
OTU25542	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25543	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales			
OTU25544	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales			
OTU25545	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25546	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	
OTU25547	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41		
OTU25548	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	PRD18C08		
OTU25549	Bacteria	Omnitrophicaeota					
OTU25550	Bacteria	Planctomycetes	BD7-11				
OTU25551	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria			
OTU25552	Bacteria	Elusimicrobia	Elusimicrobia	MVP-88			
OTU25553	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
OTU25554	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25555	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales			
OTU25556	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU25557	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25558	Bacteria	Elusimicrobia	Elusimicrobia	Lineage_IV			
OTU25559	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales			
OTU25560	Bacteria	Acidobacteria	Subgroup_6				
OTU25561	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20		
OTU25562	Bacteria	Acidobacteria	Subgroup_17				
OTU25563	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae		
OTU25564	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU25565	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
OTU25566	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	
OTU25567	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae		
OTU25568	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
OTU25569	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales			
OTU25570	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Zambryskibacteria			
OTU25571	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae		
OTU25572	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	
OTU25573	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU25574	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU25575	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12		
OTU25576	Bacteria	Patescibacteria	Parcubacteria				
OTU25577	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Zambryskibacteria			
OTU25578	Eukaryota						
OTU25579	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU25580	Bacteria	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78			
OTU25581	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	
OTU25582	Bacteria	Acidobacteria	Subgroup_6				
OTU25583	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
OTU25584	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Paludibaculum	
OTU25585	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU25586	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae		
OTU25587	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU25588	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	GOUTA6	
OTU25589	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25590	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade			
OTU25591	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
OTU25592	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	
OTU25593	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25		
OTU25594	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc_PCC-73102	edaphicum
OTU25595	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	
OTU25596	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae		
OTU25597	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU25598	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU25599	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU25600	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	
OTU25601	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	
OTU25602	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	Candidatus_Methylomirabilis	
OTU25603	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
OTU25604	Bacteria	Proteobacteria	Deltaproteobacteria				
OTU25605	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	yeongjuensis
OTU25606	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU25607	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
OTU25608	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24			
OTU25609	Bacteria	Rokubacteria	NC10	Rokubacteriales			
OTU25610	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU25611	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage	
OTU25612	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae		
OTU25613	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	
OTU25614	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25615	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales			
OTU25616	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	DS-100			
OTU25617	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	
OTU25618	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU25619	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	
OTU25620	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25621	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
OTU25622	Bacteria	Planctomycetes	vadinHA49				
OTU25623	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
OTU25624	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU25625	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU25626	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales			
OTU25627	Bacteria	Elusimicrobia	Elusimicrobia	Lineage_IV			
OTU25628	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Finniella	
OTU25629	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	
OTU25630	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	
OTU25631	Bacteria	Proteobacteria					
OTU25632	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	
OTU25633	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Lloydbacteria			
OTU25634	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	11-24			
OTU25635	Bacteria	Omnitrophicaeota					
OTU25636	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Vogelbacteria			
OTU25637	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae		
OTU25638	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19		
OTU25639	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae		
OTU25640	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Chitinimonadaceae	Chitinimonas	
OTU25641	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
OTU25642	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU25643	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	pLW-20	
OTU25644	Bacteria	Proteobacteria					
OTU25645	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	daejeonensis
OTU25646	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25647	Bacteria						
OTU25648	Bacteria	Actinobacteria	Thermoleophilia				
OTU25649	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
OTU25650	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae		
OTU25651	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU25652	Bacteria	Omnitrophicaeota					
OTU25653	Bacteria	Elusimicrobia	Lineage_IIc				
OTU25654	Bacteria	Proteobacteria	Deltaproteobacteria				
OTU25655	Bacteria	Elusimicrobia	Lineage_IIb				
OTU25656	Bacteria	Patescibacteria	Parcubacteria				
OTU25657	Bacteria	Proteobacteria	Gammaproteobacteria	JG36-TzT-191			
OTU25658	Bacteria	Planctomycetes	Phycisphaerae	mle1-8			
OTU25659	Bacteria						
OTU25660	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
OTU25661	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
OTU25662	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU25663	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
OTU25664	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25665	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20		
OTU25666	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
OTU25667	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU25668	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25669	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoconvexum	
OTU25670	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae		
OTU25671	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade			
OTU25672	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25673	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	
OTU25674	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25675	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU25676							
OTU25677	Bacteria	Proteobacteria	Deltaproteobacteria				
OTU25678	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	
OTU25679	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group				
OTU25680	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41			
OTU25681	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23	
OTU25682	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU25683	Bacteria	Omnitrophicaeota					
OTU25684	Bacteria	Omnitrophicaeota					
OTU25685							
OTU25686	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	marinum
OTU25687	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae		
OTU25688	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU25689	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria			
OTU25690	Bacteria	Planctomycetes	Pla4_lineage				
OTU25691	Archaea						
OTU25692	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae		
OTU25693	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU25694	Bacteria	Planctomycetes	vadinHA49				
OTU25695	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	Marine_Methylotrophic_Group_2	
OTU25696	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster	
OTU25697	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	Methylobacter	
OTU25698	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	MidBa8		
OTU25699	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae		
OTU25700	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	SB-5		
OTU25701	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B4-70		
OTU25702	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	IheB3-7	
OTU25703	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25704	Bacteria	Acidobacteria	Subgroup_17				
OTU25705	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B4-70		
OTU25706	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae		
OTU25707	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	
OTU25708	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	PS-B29		
OTU25709	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales			
OTU25710	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU25711	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
OTU25712	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae		
OTU25713	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pseudacidovorax	
OTU25714	Bacteria	PAUC34f					
OTU25715	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group	
OTU25716	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Candidatus_Bacilloplasma	
OTU25717	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Sva1033		
OTU25718	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25719	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae		
OTU25720	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium	
OTU25721	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23	
OTU25722	Bacteria	Lentisphaerae	Oligosphaeria	SS1-B-02-17			
OTU25723	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	
OTU25724	Bacteria	Planctomycetes					
OTU25725	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01	
OTU25726	Bacteria	Planctomycetes	Pla3_lineage				
OTU25727	Bacteria	Planctomycetes	Pla3_lineage				
OTU25728	Bacteria	Patescibacteria	Gracilibacteria	Candidatus_Peribacteria			
OTU25729	Bacteria	Planctomycetes	Pla4_lineage				
OTU25730	Bacteria	Elusimicrobia	Elusimicrobia	Lineage_IV			
OTU25731	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485			
OTU25732	Bacteria	Omnitrophicaeota					
OTU25733	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae		
OTU25734	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Fonticella	
OTU25735	Archaea	Crenarchaeota	Bathyarchaeia				
OTU25736	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU25737	Bacteria						
OTU25738	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	
OTU25739	Bacteria	Latescibacteria					
OTU25740	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
OTU25741	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	
OTU25742	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU25743	Archaea	Nanoarchaeaeota	Woesearchaeia				
OTU25744	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	Candidatus_Latescibacter	
OTU25745	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
