OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU99	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade			
OTU100	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	
OTU101	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
OTU102	Bacteria	Actinobacteria	Actinobacteria	PeM15			
OTU103	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU104	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	
OTU105	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU106	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae		
OTU107	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	
OTU108	Bacteria	Bacteroidetes	Bacteroidia				
OTU109	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	ML602J-51	
OTU110	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
OTU111	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
OTU112	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	
OTU113	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae		
OTU114	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	Methylosarcina	
OTU115	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade	
OTU116	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU117	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU118	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseibacterium	
OTU119	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	IS-44	
OTU120	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
OTU121	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU122	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
