#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   152  OTU1176      250      524      773  5'&3'    229.34   1.000       0.05       0.02       0.08      5.72
   153  OTU11769     250      524      773  5'&3'    221.79   1.000       0.05       0.02       0.07      5.65
   154  OTU1177      250      524      773  5'&3'    221.57   1.000       0.05       0.02       0.08      5.70
   155  OTU1178      250      524      773  5'&3'    219.87   1.000       0.05       0.02       0.07      5.66
   156  OTU1179      250      524      773  5'&3'    233.90   1.000       0.05       0.02       0.07      5.75
   157  OTU118       250      524      773  5'&3'    237.72   1.000       0.05       0.02       0.07      5.68
   158  OTU1181      250      524      773  5'&3'    234.67   1.000       0.05       0.02       0.07      5.67
   159  OTU1182      250      524      773  5'&3'    234.25   1.000       0.05       0.02       0.07      5.65
   160  OTU1185      250      524      773  5'&3'    237.79   1.000       0.05       0.02       0.07      5.64
   161  OTU1186      250      524      773  5'&3'    227.86   1.000       0.05       0.02       0.07      5.69
   162  OTU1188      250      524      773  5'&3'    234.45   1.000       0.05       0.02       0.07      5.68
   163  OTU1189      250      524      773  5'&3'    229.22   1.000       0.05       0.02       0.08      5.70
   164  OTU119       250      524      773  5'&3'    232.25   1.000       0.05       0.02       0.07      5.64
   165  OTU1190      250      524      773  5'&3'    239.16   1.000       0.05       0.02       0.07      5.65
   166  OTU1193      250      524      773  5'&3'    229.51   1.000       0.05       0.02       0.07      5.69
   167  OTU1196      250      524      773  5'&3'    227.71   0.999       0.05       0.03       0.08      5.82
   168  OTU11966     250      524      773  5'&3'    232.08   1.000       0.05       0.02       0.07      5.68
   169  OTU11976     250      524      773  5'&3'    230.63   1.000       0.05       0.02       0.07      5.64
   170  OTU12        250      524      773  5'&3'    240.25   1.000       0.05       0.02       0.07      5.68
   171  OTU120       250      524      773  5'&3'    225.45   1.000       0.05       0.02       0.07      5.64
   172  OTU1200      250      524      773  5'&3'    235.71   1.000       0.05       0.02       0.07      5.65
   173  OTU1203      250      524      773  5'&3'    224.00   1.000       0.05       0.03       0.08      5.80
   174  OTU1204      250      524      773  5'&3'    234.02   1.000       0.05       0.02       0.07      5.66
   175  OTU1205      250      524      773  5'&3'    230.65   1.000       0.05       0.02       0.07      5.63
   176  OTU1208      250      524      773  5'&3'    217.12   1.000       0.05       0.03       0.08      5.75
   177  OTU1209      250      524      773  5'&3'    225.09   1.000       0.05       0.02       0.08      5.67
   178  OTU121       250      524      773  5'&3'    229.67   1.000       0.05       0.02       0.08      5.70
